index_number,time_start,time_end,duration,peak_time,max_intensity,mean_intensity,cumulative_intensity
1,1993-10-25,1993-10-29,5,1993-10-27,2.756537013366099,2.2556283491231093,11.278141745615546
2,1994-05-12,1994-05-20,9,1994-05-13,2.8038799160064585,2.2812884630430954,20.531596167387857
3,1994-08-24,1994-08-28,5,1994-08-24,2.650696393595851,2.170998676122103,10.854993380610516
4,1995-09-18,1995-09-22,5,1995-09-21,2.4953224114791723,2.1453028508749994,10.726514254374997
5,1996-05-10,1996-05-14,5,1996-05-11,3.1413644698016796,2.6659898089083,13.3299490445415
6,1996-08-11,1996-08-16,6,1996-08-13,2.961938199156247,2.1926645691965803,13.155987415179482
7,1996-08-24,1996-08-28,5,1996-08-24,2.453097652276412,2.082305274444552,10.41152637222276
8,1997-06-25,1997-06-29,5,1997-06-28,3.2164631693343253,2.6314019622709965,13.157009811354982
9,1998-01-25,1998-01-31,7,1998-01-28,2.8396087792864613,2.5501541565956853,17.851079096169798
10,1998-03-03,1998-03-08,6,1998-03-03,3.0434234033070453,2.7077174668871766,16.24630480132306
11,1998-04-01,1998-04-06,6,1998-04-03,4.133921694028288,3.140973878656883,18.8458432719413
12,1998-09-03,1998-09-13,11,1998-09-06,2.6114263318542257,2.1881856050409203,24.070041655450122
13,1999-02-11,1999-02-16,6,1999-02-16,3.5051962640732235,2.692721999870523,16.156331999223138
14,1999-03-14,1999-03-21,8,1999-03-16,3.1026742897706647,2.5989966213615,20.791972970892
15,2001-01-12,2001-01-19,8,2001-01-13,2.6981168018170223,2.5208974643217195,20.167179714573756
16,2001-01-23,2001-01-27,5,2001-01-27,2.6697900109523154,2.610737380836775,13.053686904183873
17,2001-06-08,2001-06-14,7,2001-06-09,4.200057245417597,3.225183240176942,22.57628268123859
18,2001-06-29,2001-07-20,22,2001-07-05,3.5879979333721153,3.0152119541697235,66.33466299173392
19,2004-11-06,2004-11-19,14,2004-11-14,8.510318211697012,3.3344630552786896,46.682482773901654
20,2005-12-28,2006-01-01,5,2005-12-31,4.002962699991137,3.0280688050582647,15.140344025291324
21,2006-12-07,2006-12-11,5,2006-12-08,3.2295036719939674,2.710942451285124,13.55471225642562
22,2007-05-12,2007-05-19,8,2007-05-18,3.0515353253548554,2.475101390704406,19.80081112563525
23,2007-11-02,2007-11-08,7,2007-11-04,3.017932690563711,2.316905736757781,16.218340157304468
24,2007-12-22,2007-12-26,5,2007-12-26,3.0159115701919816,2.5210914052646047,12.605457026323023
25,2009-06-02,2009-06-07,6,2009-06-07,2.7068961408295564,2.3494804672760936,14.096882803656563
26,2009-06-13,2009-06-17,5,2009-06-13,2.3093478168902273,2.0478408671595227,10.239204335797613
27,2009-09-24,2009-09-30,7,2009-09-26,3.369102448482252,2.5839697156187613,18.08778800933133
28,2009-10-07,2009-10-11,5,2009-10-07,1.7797505573104075,1.7273497823678852,8.636748911839426
29,2009-11-25,2009-11-30,6,2009-11-25,3.6595400605855843,2.8977431910849543,17.386459146509726
30,2010-03-07,2010-03-12,6,2010-03-09,3.2154164172431976,2.6630940139721346,15.978564083832808
31,2010-12-10,2010-12-18,9,2010-12-11,2.6835783627575616,2.443284681622525,21.989562134602725
32,2011-06-11,2011-06-18,8,2011-06-13,2.3362973815061316,2.0410898186182775,16.32871854894622
33,2012-06-26,2012-07-01,6,2012-06-28,2.5933291012539925,2.193999765034792,13.163998590208752
34,2012-12-17,2012-12-28,12,2012-12-20,4.150433560009272,2.661342280408802,31.936107364905624
35,2013-02-15,2013-02-20,6,2013-02-16,3.5328903558700553,2.8885441715446785,17.33126502926807
36,2013-04-06,2013-04-14,9,2013-04-12,3.3285152190520257,2.5826642770972086,23.243978493874877
37,2013-04-21,2013-04-30,10,2013-04-28,2.888156151363191,2.466167039172484,24.66167039172484
38,2013-06-28,2013-07-13,16,2013-06-29,2.891358496913014,2.1077328971983498,33.723726355173596
39,2013-07-17,2013-07-30,14,2013-07-20,2.5386913982987735,2.141588796875458,29.982243156256413
40,2014-03-13,2014-03-18,6,2014-03-15,3.413293554079921,2.9456655827027785,17.67399349621667
41,2014-05-17,2014-05-23,7,2014-05-17,2.4441628125861428,2.146619639198709,15.026337474390964
42,2014-05-31,2014-06-05,6,2014-06-02,2.479046555222684,2.2200143023176384,13.32008581390583
43,2014-07-27,2014-08-02,7,2014-07-30,3.163410050708137,2.7640061248060754,19.348042873642527
44,2015-01-13,2015-01-19,7,2015-01-16,4.096936240283423,2.9591376332869728,20.71396343300881
45,2015-07-24,2015-08-15,23,2015-07-24,3.769106220581058,2.8439640535555633,65.41117323177795
46,2015-10-22,2015-10-26,5,2015-10-25,3.075733516229164,2.3811958851178034,11.905979425589017
47,2016-02-01,2016-02-05,5,2016-02-02,4.59498276679863,3.990405549067693,19.952027745338466
48,2016-03-04,2016-03-14,11,2016-03-04,3.684091633217527,2.8793687842118003,31.673056626329803
49,2016-04-07,2016-04-11,5,2016-04-10,3.437220516875808,2.391225307542933,11.956126537714663
50,2016-05-06,2016-05-18,13,2016-05-07,3.9168167770546134,3.1289862387690563,40.67682110399773
51,2016-08-29,2016-09-02,5,2016-08-31,2.444362470162435,2.1384850513260893,10.692425256630447
52,2016-10-15,2016-10-21,7,2016-10-18,3.7898004712777116,2.9979404528497438,20.985583169948207
53,2017-01-23,2017-02-08,17,2017-01-23,4.32239352422458,2.829806965571205,48.106718414710485
54,2017-06-04,2017-06-10,7,2017-06-05,2.5970371081543995,1.9848033122169586,13.89362318551871
55,2017-11-24,2017-11-30,7,2017-11-29,2.6767266664566662,2.4044833654728017,16.83138355830961
56,2018-03-31,2018-04-11,12,2018-04-02,3.3670573391704224,2.685828733770394,32.22994480524473
57,2018-05-05,2018-05-11,7,2018-05-09,3.7027565256003,2.9367642743232087,20.55734992026246
58,2018-11-06,2018-11-14,9,2018-11-10,3.249521695774284,2.451759855490793,22.065838699417135
59,2019-01-12,2019-01-19,8,2019-01-12,4.334299700431828,3.555147226411143,28.441177811289144
