index_number,time_start,time_end,duration,peak_time,max_intensity,mean_intensity,cumulative_intensity
1,1994-07-17,1994-07-22,6,1994-07-18,1.8948442454516652,1.741977330074521,10.451863980447126
2,1996-02-10,1996-02-20,11,1996-02-10,3.771768254018724,2.515580158038436,27.671381738422795
3,1996-05-03,1996-05-07,5,1996-05-05,2.4934936665772156,2.2894891809996443,11.447445904998222
4,1996-09-04,1996-09-09,6,1996-09-04,1.8978706605752507,1.4922282641566593,8.953369584939956
5,1996-10-28,1996-11-05,9,1996-11-04,2.5466563862272196,1.9277263144681471,17.349536830213324
6,1996-11-16,1996-11-29,14,1996-11-18,2.4262115925652807,1.7909181505122491,25.072854107171487
7,1996-12-17,1996-12-21,5,1996-12-18,2.0926878227419152,1.859688083352011,9.298440416760055
8,1998-03-31,1998-04-05,6,1998-04-02,2.0410691671106065,1.8233430183241275,10.940058109944765
9,1998-05-06,1998-05-11,6,1998-05-11,1.6501688843654456,1.5575260581330752,9.34515634879845
10,1998-05-27,1998-06-03,8,1998-05-27,2.645931688926847,2.2146477684715182,17.717182147772146
11,1998-07-06,1998-07-24,19,1998-07-09,2.2243612740440355,1.745673238250984,33.167791526768696
12,1998-09-04,1998-09-11,8,1998-09-10,2.095897245431207,1.5681855609390318,12.545484487512255
13,1998-10-01,1998-10-06,6,1998-10-04,1.4359444911398072,1.2514971121328664,7.508982672797199
14,1999-03-27,1999-04-10,15,1999-04-10,4.4459223700527986,2.5836693161167053,38.75503974175058
15,1999-04-23,1999-04-28,6,1999-04-23,3.9915421160893843,2.819182568566261,16.915095411397566
16,1999-12-15,1999-12-19,5,1999-12-17,2.234059716910423,1.7472856267122723,8.736428133561361
17,1999-12-24,1999-12-28,5,1999-12-28,2.9188594996795487,2.115022327346994,10.57511163673497
18,2000-02-02,2000-02-19,18,2000-02-07,3.036240461115849,2.3876703030035795,42.978065454064435
19,2000-03-03,2000-03-07,5,2000-03-07,2.3031749566359636,2.106128537966916,10.530642689834579
20,2000-03-19,2000-03-31,13,2000-03-22,8.021672954141543,3.0197879774032845,39.2572437062427
21,2000-04-09,2000-04-13,5,2000-04-11,3.5145768786325533,2.401373134309283,12.006865671546414
22,2000-04-18,2000-04-23,6,2000-04-22,2.457318682255128,1.8926007834310863,11.355604700586518
23,2000-09-12,2000-09-16,5,2000-09-12,2.3769040651688904,1.8968655288848644,9.484327644424322
24,2003-06-02,2003-06-07,6,2003-06-04,1.8367014305466327,1.6567860157741805,9.940716094645083
25,2005-08-04,2005-08-10,7,2005-08-07,1.759144157693104,1.6111192411192303,11.277834687834613
26,2007-06-12,2007-06-19,8,2007-06-13,2.3052167038456624,1.8781556114094164,15.025244891275332
27,2007-07-13,2007-07-17,5,2007-07-14,1.484813502448695,1.3973489403766173,6.986744701883087
28,2008-05-30,2008-06-04,6,2008-06-01,2.453116838139543,2.1668095649938444,13.000857389963066
29,2008-08-23,2008-09-03,12,2008-09-02,1.996480735485811,1.6158213779700077,19.389856535640092
30,2010-11-13,2010-11-29,17,2010-11-28,2.7529915460353536,2.171861236713347,36.9216410241269
31,2010-12-03,2010-12-07,5,2010-12-04,2.3715624513598144,1.7130740327601957,8.565370163800978
32,2011-01-11,2011-01-29,19,2011-01-16,4.570039001546974,2.8262408331982614,53.69857583076697
33,2011-02-04,2011-04-25,81,2011-02-28,5.927064240139778,3.2742224268399704,265.2120165740376
34,2011-05-25,2011-05-30,6,2011-05-29,2.5901490108567344,2.2256524735256673,13.353914841154005
35,2011-08-29,2011-09-02,5,2011-08-31,2.038959485288668,1.6890661164027905,8.445330582013952
36,2011-11-17,2011-11-22,6,2011-11-18,1.7350296467644881,1.5289139145645592,9.173483487387355
37,2012-01-10,2012-01-14,5,2012-01-14,2.3045820864967794,1.8351393276968708,9.175696638484354
38,2012-01-23,2012-02-03,12,2012-01-31,2.7219091522979326,2.249397692193072,26.992772306316862
39,2012-03-02,2012-03-06,5,2012-03-05,1.6913610271913342,1.621598425905765,8.107992129528824
40,2012-10-18,2012-10-22,5,2012-10-18,1.6491735304609634,1.3490781807213685,6.745390903606843
41,2013-07-09,2013-07-22,14,2013-07-14,2.3332885945563007,1.7110521605555256,23.95473024777736
42,2013-07-26,2013-08-05,11,2013-08-03,2.143723993289182,1.4961932554460409,16.45812580990645
43,2013-08-09,2013-08-13,5,2013-08-09,1.6623854550886428,1.4592356660963488,7.2961783304817445
44,2014-08-15,2014-08-29,15,2014-08-24,2.290566628570005,1.7278004357824814,25.917006536737222
45,2014-09-16,2014-09-20,5,2014-09-19,1.6359744910439495,1.3881059835674896,6.940529917837448
46,2015-07-30,2015-08-03,5,2015-07-30,1.5374378385079552,1.426470125280352,7.1323506264017595
47,2015-10-07,2015-10-12,6,2015-10-10,1.8210190061428548,1.4696193052731263,8.817715831638758
48,2015-10-27,2015-10-31,5,2015-10-30,1.2569402700122119,1.130856449357168,5.65428224678584
49,2019-10-01,2019-10-07,7,2019-10-03,1.8180768317809672,1.4211685129402933,9.948179590582054
50,2019-12-12,2019-12-16,5,2019-12-14,2.350328803916991,2.0098687946228475,10.049343973114237
