index_number,time_start,time_end,duration,peak_time,max_intensity,mean_intensity,cumulative_intensity
1,1994-05-04,1994-05-08,5,1994-05-07,1.3195821745754408,1.2326001941158382,6.163000970579191
2,1994-12-04,1994-12-10,7,1994-12-09,1.6872887890425972,1.2782762339788347,8.947933637851843
3,1994-12-14,1994-12-19,6,1994-12-15,1.4840996691639674,1.244653213054266,7.467919278325596
4,1994-12-28,1995-01-03,7,1994-12-29,2.363214875886065,1.5647387273652598,10.953171091556818
5,1995-10-26,1995-11-01,7,1995-10-30,1.3694077165858474,1.2506263898315904,8.754384728821133
6,1996-02-08,1996-02-16,9,1996-02-10,2.8383052582590906,2.1591971812789255,19.43277463151033
7,1997-09-22,1997-09-26,5,1997-09-26,1.6320496879668411,1.2510785372833262,6.255392686416631
8,1998-07-19,1998-07-23,5,1998-07-23,1.6769275195617155,1.4003687638528775,7.001843819264387
9,1999-02-26,1999-03-02,5,1999-02-28,2.237980157237132,1.5768323976682113,7.884161988341056
10,1999-04-10,1999-05-04,25,1999-04-30,3.2265519458467082,2.3696425718925735,59.24106429731434
11,1999-05-17,1999-05-29,13,1999-05-18,2.479293652050753,1.4983183545022267,19.478138608528948
12,1999-06-05,1999-06-10,6,1999-06-08,1.5851399016879206,1.4513999570547689,8.708399742328613
13,1999-12-25,2000-01-07,14,2000-01-03,2.8519881882125517,1.6019096375019173,22.426734925026842
14,2001-06-22,2001-06-30,9,2001-06-28,2.1206713269985116,1.8124312883659988,16.31188159529399
15,2006-08-29,2006-09-03,6,2006-08-31,1.805057242405752,1.5755982915270874,9.453589749162525
16,2006-11-15,2006-11-29,15,2006-11-15,1.7008366308150187,1.3178047084380813,19.76707062657122
17,2007-08-16,2007-08-22,7,2007-08-17,1.8504371062416283,1.4654025109938889,10.257817576957223
18,2008-04-09,2008-04-18,10,2008-04-13,1.8037291506271274,1.4912753836194963,14.912753836194963
19,2008-05-04,2008-05-13,10,2008-05-08,2.584748655991163,1.9053309577005362,19.05330957700536
20,2008-08-25,2008-08-30,6,2008-08-28,1.8726845500894136,1.5168236671653634,9.10094200299218
21,2011-02-13,2011-05-11,88,2011-02-26,3.3790654823361663,1.8901641986819788,166.33444948401413
22,2012-01-18,2012-02-03,17,2012-01-26,3.117242210070934,2.072345963289991,35.22988137592985
23,2012-03-09,2012-03-13,5,2012-03-11,1.7520968337947238,1.3636893190909611,6.818446595454805
24,2012-12-28,2013-01-09,13,2013-01-06,2.4228687372800266,1.7201787792915513,22.362324130790167
25,2013-02-10,2013-02-16,7,2013-02-13,2.0100422156599294,1.6270007305468392,11.389005113827874
26,2013-06-29,2013-07-15,17,2013-07-04,2.142700330919606,1.5292578809794737,25.99738397665105
27,2013-08-03,2013-08-08,6,2013-08-03,2.2833928218604136,1.928833100725715,11.57299860435429
28,2014-08-28,2014-09-04,8,2014-08-31,1.982649405491685,1.5085824090929458,12.068659272743567
29,2014-09-15,2014-09-21,7,2014-09-18,1.9349079301858012,1.4533214591392252,10.173250213974576
30,2015-10-08,2015-10-17,10,2015-10-11,1.740575282844162,1.4208333038634322,14.208333038634322
31,2015-10-31,2015-11-08,9,2015-11-04,2.0073759254832737,1.5549327267581678,13.99439454082351
32,2015-11-12,2015-11-17,6,2015-11-14,2.4135989298905685,1.9348514020717023,11.609108412430214
33,2017-06-17,2017-06-23,7,2017-06-18,2.2849858848734357,1.5851643192829914,11.09615023498094
34,2019-10-08,2019-10-13,6,2019-10-10,1.3815551131217596,1.2094649504558006,7.256789702734803
35,2019-12-02,2019-12-08,7,2019-12-06,1.471635487187271,1.2731555560832486,8.91208889258274
36,2019-12-12,2019-12-18,7,2019-12-17,2.3785328975061617,1.8482606789706695,12.937824752794686
37,2019-12-22,2019-12-27,6,2019-12-27,1.616443166085844,1.432495452406575,8.59497271443945
