index_number,start_year,end_year,centre_year,frequency,duration,max_intensity,max_max_intensity,mean_intensity,intensity_variablity,cumulative_intensity,rate_onset,rate_decline,mhw_days,total_cumulative_intensity
1,1993.0,1993.0,1993.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
2,1994.0,1994.0,1994.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
3,1995.0,1995.0,1995.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
4,1996.0,1996.0,1996.0,1.0,7.0,2.4501298247366634,2.4501298247366634,1.761602878854767,0.5024994256421954,12.33122015198337,0.53258499579471,0.3096003450838821,7.0,12.33122015198337
5,1997.0,1997.0,1997.0,3.0,6.666666666666667,2.9743457047421713,3.5923494575245485,2.2006090563240135,0.4821090969866644,14.724197180618582,1.1382940187884023,1.7609698037585284,20.0,44.172591541855745
6,1998.0,1998.0,1998.0,2.0,5.5,2.3478463922344286,2.4341437883214105,1.7535392436720434,0.36227402530411046,9.672049139320347,0.6053962391538165,0.8342446312904873,11.0,19.344098278640693
7,1999.0,1999.0,1999.0,2.0,6.0,2.164894537113266,3.03686539351218,1.7690320689973347,0.22908185946280057,9.996773195166027,1.254019701568471,0.19818382804673174,12.0,19.993546390332053
8,2000.0,2000.0,2000.0,1.0,6.0,6.399977589946005,6.399977589946005,4.299662971447537,1.2892218539732119,25.797977828685223,1.8458615073848263,1.1772770090836626,6.0,25.797977828685223
9,2001.0,2001.0,2001.0,5.0,6.6,3.4260421604951956,7.603638146372084,2.2684099531999653,0.6862157225317144,14.384204508544054,0.9611561635289,1.1177948861836566,33.0,71.92102254272027
10,2002.0,2002.0,2002.0,4.0,7.5,4.657333026608336,9.361844771097658,2.41975988764108,1.0109062560457798,18.091993926601486,1.511293990393296,2.4576794712934658,30.0,72.36797570640594
11,2003.0,2003.0,2003.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
12,2004.0,2004.0,2004.0,1.0,5.0,2.9980341250743123,2.9980341250743123,2.567173713647626,0.2383962588804582,12.83586856823813,0.3598104625308728,1.5250360580559814,5.0,12.83586856823813
13,2005.0,2005.0,2005.0,1.0,23.0,4.8049902329405185,4.8049902329405185,2.7652066792213503,1.8936079709816822,63.59975362209106,0.40488363649804643,0.21947421952784651,23.0,63.59975362209106
14,2006.0,2006.0,2006.0,2.0,8.0,2.3120918608807948,2.378053516510377,1.740848288495077,0.3436902913925104,13.513380338378992,0.5808205399426886,0.4288766944663487,16.0,27.026760676757984
15,2007.0,2007.0,2007.0,3.0,9.333333333333334,2.8821117697927057,3.4984846372699465,2.346423636123733,0.3636490164538089,22.99115698944161,0.9268210237451725,0.22863780147036428,26.0,51.637872510057434
16,2008.0,2008.0,2008.0,3.0,7.0,2.3751314781446546,2.7722820819062832,2.042898958562988,0.22084650724689983,14.655224295069118,0.43128832860635113,1.2149945077440407,23.0,61.30127134347477
17,2009.0,2009.0,2009.0,2.0,5.5,2.700542506960028,3.283580730737608,2.0263437825455792,0.4448369078184358,10.941296672481894,0.8915734595832193,0.3420998514824492,11.0,21.882593344963787
18,2010.0,2010.0,2010.0,2.0,5.5,1.969157298792421,2.253857015241934,1.644300908393952,0.30472608804638257,9.130732951587193,1.4712295072006512,0.19903200029309798,11.0,18.261465903174386
19,2011.0,2011.0,2011.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
20,2012.0,2012.0,2012.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
21,2013.0,2013.0,2013.0,3.0,7.666666666666667,2.555926683149759,3.5399959201345865,1.9590491369934389,0.39092270397794887,15.135384850909327,0.8738538149168832,0.20454282132162827,23.0,45.40615455272798
22,2014.0,2014.0,2014.0,3.0,7.0,2.1361321385990606,2.3931794271477003,1.6501618379638323,0.28659524151773735,11.694853501098649,0.2826446855806945,0.6172475143368706,21.0,35.08456050329595
23,2015.0,2015.0,2015.0,5.0,7.2,2.2572333855665567,4.117793166912556,1.8227831774052,0.23851206870451086,15.20730438072539,0.7515252383745825,0.19141096360928664,36.0,76.03652190362695
24,2016.0,2016.0,2016.0,4.0,9.25,2.4907507838492657,3.511606358589468,1.954792848318808,0.26771775392691916,18.734939001338894,0.45836812874652066,0.1571215282982426,37.0,74.93975600535558
25,2017.0,2017.0,2017.0,3.0,7.333333333333333,2.1642894282091683,2.816452569729009,1.7478248110807917,0.2545396069050297,12.360330265423855,0.2295791092724766,0.49016289938081375,22.0,37.080990796271564
26,2018.0,2018.0,2018.0,1.0,6.0,4.520283196976024,4.520283196976024,3.219224385712339,1.0901555961859712,19.315346314274034,0.6354175103795228,4.520283196976024,6.0,19.315346314274034
27,2019.0,2019.0,2019.0,6.0,7.333333333333333,2.0552065712649523,3.6413571624800056,1.7086353063533408,0.2298837482835746,12.222717966099124,0.5109329166831666,0.2948948784068857,44.0,73.33630779659474
