index_number,start_year,end_year,centre_year,frequency,duration,max_intensity,max_max_intensity,mean_intensity,intensity_variablity,cumulative_intensity,rate_onset,rate_decline,mhw_days,total_cumulative_intensity
1,1993.0,1993.0,1993.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
2,1994.0,1994.0,1994.0,1.0,6.0,1.8948442454516652,1.8948442454516652,1.741977330074521,0.11305061797849464,10.451863980447126,0.41633025326273315,0.1448874658826386,6.0,10.451863980447126
3,1995.0,1995.0,1995.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
4,1996.0,1996.0,1996.0,6.0,8.333333333333334,2.538114730450934,3.771768254018724,1.9792716919211912,0.36898473086437816,16.63217143041764,1.0272497559208142,0.309531476708112,50.0,99.79302858250583
5,1997.0,1997.0,1997.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
6,1998.0,1998.0,1998.0,6.0,8.833333333333334,2.0155621251696583,2.645931688926847,1.6934787927086006,0.19567845743602053,15.204109215598919,0.35458732823511085,0.31590836286243107,53.0,91.22465529359351
7,1999.0,1999.0,1999.0,4.0,7.75,3.3975959256830386,4.4459223700527986,2.316289959685558,0.6392689063841747,18.74541873086112,1.0447812642753054,1.60778591165193,31.0,74.98167492344449
8,2000.0,2000.0,2000.0,6.0,8.666666666666666,3.618314666324988,8.021672954141543,2.2840710441665024,0.674977255631347,20.935458311116495,0.721479590574,1.0250189853759633,52.0,125.61274986669898
9,2001.0,2001.0,2001.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
10,2002.0,2002.0,2002.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
11,2003.0,2003.0,2003.0,1.0,6.0,1.8367014305466327,1.8367014305466327,1.6567860157741805,0.11324975733474865,9.940716094645083,0.1620892152270798,0.0685184215175053,6.0,9.940716094645083
12,2004.0,2004.0,2004.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
13,2005.0,2005.0,2005.0,1.0,7.0,1.759144157693104,1.759144157693104,1.6111192411192303,0.13590525968268705,11.277834687834613,0.1415687226053122,0.11078790476591241,7.0,11.277834687834613
14,2006.0,2006.0,2006.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
15,2007.0,2007.0,2007.0,2.0,6.5,1.8950151031471787,2.3052167038456624,1.6377522758930168,0.16674644433064553,11.005994796579209,0.6231329888611808,0.1098680523816973,13.0,22.011989593158418
16,2008.0,2008.0,2008.0,2.0,9.0,2.224798786812677,2.453116838139543,1.891315471481926,0.23937735223494822,16.19535696280158,0.2899465723344324,0.32681387190738337,18.0,32.39071392560316
17,2009.0,2009.0,2009.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
18,2010.0,2010.0,2010.0,2.0,11.0,2.562276998697584,2.7529915460353536,1.9424676347367713,0.39891205340467584,22.74350559396394,0.7092779952133919,0.9011728777369472,22.0,45.48701118792788
19,2011.0,2011.0,2011.0,5.0,23.4,3.3722482769193283,5.927064240139778,2.3088191529062496,0.5157268452642383,69.97666426307197,0.4006402927585371,0.30599444400174886,117.0,349.8833213153598
20,2012.0,2012.0,2012.0,4.0,6.75,2.0917564491117524,2.7219091522979326,1.7638034066292692,0.2311027392696739,12.755462994484223,0.526420166802004,0.5878730222040567,27.0,51.02185197793689
21,2013.0,2013.0,2013.0,3.0,10.0,2.0464660143113753,2.3332885945563007,1.5554936940326385,0.2630865645502574,15.903011462721851,0.4971594736609144,0.19467767186515653,30.0,47.709034388165556
22,2014.0,2014.0,2014.0,2.0,10.0,1.9632705598069773,2.290566628570005,1.5579532096749855,0.20838866247725896,16.428768227287335,0.19261782101312247,0.33594381546653923,20.0,32.85753645457467
23,2015.0,2015.0,2015.0,3.0,5.333333333333333,1.538465704887674,1.8210190061428548,1.3423152933035487,0.1259048305520892,7.201449568275453,0.23850320486491006,0.17462234572992633,16.0,21.604348704826357
24,2016.0,2016.0,2016.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
25,2017.0,2017.0,2017.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
26,2018.0,2018.0,2018.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
27,2019.0,2019.0,2019.0,2.0,6.0,2.084202817848979,2.350328803916991,1.7155186537815705,0.30464817195019883,9.998761781848145,0.44894384048250374,0.27192398234378545,12.0,19.99752356369629
